Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
1.89660   	-2.80715e+01	-4.34556e+01	-3.39986e+01		         0.17500	3.10000e+01	
1.91466   	-2.81618e+01	-4.47623e+01	-3.23784e+01		         0.17667	3.20000e+01	
1.93272   	-2.79240e+01	-4.50658e+01	-3.21325e+01		         0.17833	3.30000e+01	
1.95077   	-2.75083e+01	-4.54112e+01	-3.17845e+01		         0.18000	3.40000e+01	
1.96883   	-2.74463e+01	-4.29553e+01	-3.13386e+01		         0.18167	3.50000e+01	
1.98689   	-2.67701e+01	-4.06450e+01	-3.18711e+01		         0.18333	3.60000e+01	
2.00495   	-2.49954e+01	-4.12869e+01	-3.10206e+01		         0.18500	3.60000e+01	
2.02301   	-2.33002e+01	-4.27951e+01	-3.30449e+01		         0.18667	3.60000e+01	
2.04107   	-2.32212e+01	-4.35176e+01	-3.04568e+01		         0.18833	3.60000e+01	
2.05912   	-2.38661e+01	-4.29093e+01	-3.14363e+01		         0.19000	3.70000e+01	
2.07718   	-2.41072e+01	-4.13054e+01	-3.03777e+01		         0.19167	3.70000e+01	
2.09524   	-2.41467e+01	-3.72228e+01	-2.96710e+01		         0.19333	3.60000e+01	
2.11330   	-2.44860e+01	-3.23969e+01	-3.41979e+01		         0.19500	3.60000e+01	
2.13136   	-2.37446e+01	-3.13905e+01	-3.19082e+01		         0.19667	3.60000e+01	
2.14941   	-2.36285e+01	-3.23531e+01	-3.24345e+01		         0.19833	3.50000e+01	
2.16747   	-2.43247e+01	-3.44823e+01	-3.39977e+01		         0.20000	3.40000e+01	
2.18553   	-2.41388e+01	-3.53113e+01	-3.65962e+01		         0.20167	3.30000e+01	
2.20360   	-2.43707e+01	-3.56107e+01	-3.56432e+01		         0.20333	3.20000e+01	
2.22165   	-2.44554e+01	-3.60578e+01	-3.39190e+01		         0.20500	3.10000e+01	
2.23971   	-2.44115e+01	-3.60595e+01	-3.29767e+01		         0.20667	3.00000e+01	
