Grayscale intensity, in dB

Time (s) :	Trace 1 : 	Trace 2 : 	Trace 3 : 		Ecg : 		
					         0.65333	-2.00000e+01	
					         0.65500	-2.00000e+01	
					         0.65667	-2.00000e+01	
					         0.65833	-2.00000e+01	
					         0.66000	-1.90000e+01	
					         0.66167	-1.90000e+01	
					         0.66333	-1.80000e+01	
					         0.66500	-1.80000e+01	
					         0.66667	-1.70000e+01	
					         0.66833	-1.70000e+01	
					         0.67000	-1.60000e+01	
					         0.67167	-1.50000e+01	
					         0.67333	-1.40000e+01	
					         0.67500	-1.30000e+01	
					         0.67667	-1.10000e+01	
					         0.67833	-1.00000e+01	
					         0.68000	-9.00000e+00	
					         0.68167	-7.00000e+00	
					         0.68333	-6.00000e+00	
					         0.68500	-5.00000e+00	
					         0.68667	-4.00000e+00	
					         0.68833	-2.00000e+00	
					         0.69000	-1.00000e+00	
					         0.69167	-1.00000e+00	
					         0.69333	0.00000e+00	
					         0.69500	1.00000e+00	
					         0.69667	1.00000e+00	
					         0.69833	1.00000e+00	
					         0.70000	2.00000e+00	
					         0.70167	2.00000e+00	
					         0.70333	2.00000e+00	
					         0.70500	2.00000e+00	
					         0.70667	2.00000e+00	
					         0.70833	2.00000e+00	
					         0.71000	2.00000e+00	
					         0.71167	1.00000e+00	
					         0.71333	1.00000e+00	
					         0.71500	1.00000e+00	
					         0.71667	1.00000e+00	
					         0.71833	1.00000e+00	
					         0.72000	1.00000e+00	
					         0.72167	1.00000e+00	
					         0.72333	2.00000e+00	
					         0.72500	2.00000e+00	
					         0.72667	3.00000e+00	
					         0.72833	5.00000e+00	
					         0.73000	6.00000e+00	
					         0.73167	8.00000e+00	
					         0.73333	9.00000e+00	
					         0.73500	1.10000e+01	
					         0.73667	1.20000e+01	
					         0.73833	1.30000e+01	
					         0.74000	1.40000e+01	
					         0.74167	1.50000e+01	
					         0.74333	1.60000e+01	
					         0.74500	1.60000e+01	
					         0.74667	1.60000e+01	
					         0.74833	1.60000e+01	
					         0.75000	1.50000e+01	
					         0.75167	1.40000e+01	
					         0.75333	1.30000e+01	
					         0.75500	1.10000e+01	
					         0.75667	1.00000e+01	
					         0.75833	8.00000e+00	
					         0.76000	6.00000e+00	
					         0.76167	3.00000e+00	
					         0.76333	-1.00000e+00	
					         0.76500	-5.00000e+00	
					         0.76667	-1.00000e+01	
					         0.76833	-1.60000e+01	
					         0.77000	-2.30000e+01	
					         0.77167	-3.00000e+01	
					         0.77333	-3.70000e+01	
					         0.77500	-4.40000e+01	
					         0.77667	-5.10000e+01	
					         0.77833	-5.70000e+01	
					         0.78000	-6.20000e+01	
					         0.78167	-6.70000e+01	
					         0.78333	-7.00000e+01	
					         0.78500	-7.20000e+01	
					         0.78667	-7.20000e+01	
					         0.78833	-7.00000e+01	
					         0.79000	-6.70000e+01	
					         0.79167	-6.20000e+01	
					         0.79333	-5.70000e+01	
					         0.79500	-5.00000e+01	
					         0.79667	-4.30000e+01	
					         0.79833	-3.50000e+01	
					         0.80000	-2.80000e+01	
					         0.80167	-2.00000e+01	
					         0.80333	-1.30000e+01	
					         0.80500	-6.00000e+00	
					         0.80667	0.00000e+00	
					         0.80833	6.00000e+00	
